sku,product_type,name,out_of_stock_qty,use_config_min_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,associated_skus
5020322,simple,CANTONEIRA 7/8 x 1/8 (22.20 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020325,simple,CANTONEIRA 1 x 1/8 (25.4 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020331,simple,CANTONEIRA 1.1/4 x 1/8 (31.75 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020338,simple,CANTONEIRA 1.1/2 x 1/8 (38.10 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020344,simple,CANTONEIRA 1.3/4 x 1/8 (44.45 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020350,simple,CANTONEIRA 2 x 1/8 (50.80 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020425,simple,CANTONEIRA 1 x 3/16 (25.40 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020431,simple,CANTONEIRA 1.1/4 x 3/16 (31.75 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020438,simple,CANTONEIRA 1.1/2 x 3/16 (38.10 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020444,simple,CANTONEIRA 1.3/4 x 3/16 (44.45 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020450,simple,CANTONEIRA 2 x 3/16 (50.80 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020463,simple,CANTONEIRA 2.1/2 x 3/16 (63.5 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020476,simple,CANTONEIRA 3 x 3/16 (76.20 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020625,simple,CANTONEIRA 1 x 1/4 (25.4 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020631,simple,CANTONEIRA 1.1/4 x 1/4 (31.75 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020638,simple,CANTONEIRA 1.1/2 x 1/4 (38.10 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020644,simple,CANTONEIRA 1.3/4 x 1/4 (44.45 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
